177,190
64,142
99,118
34,147
132,133
139,190
67,180
86,193
142,192
121,169
82,168
8,130
3,24
102,155
32,78
135,161
43,96
158,172
135,179
17,71
9,67
51,185
22,158
70,162
89,175
28,174
102,123
2,45
3,10
11,121
48,170
11,130
195,198
44,136
16,65
65,88
2,148
65,97
128,135
109,131
38,89
93,186
49,98
15,105
150,168
49,134
151,154
36,164
67,179
119,180
0,98
119,198
82,158
75,119
146,170
165,183
104,164
41,126
52,144
25,127
17,34
158,171
28,52
49,93
160,180
68,106
128,157
15,109
35,176
8,70
78,156
24,185
29,129
36,186
5,180
146,174
81,166
195,197
24,68
62,180
56,109
85,145
14,103
73,189
65,96
139,152
138,184
20,39
36,154
17,159
11,97
31,75
3,4
60,111
35,36
115,154
116,119
105,128
50,192
53,90
25,117
16,59
9,20
74,140
62,184
68,78
14,125
42,44
67,128
38,101
149,188
42,71
48,114
31,43
16,189
119,174
23,57
1,47
10,114
42,183
35,58
22,88
56,90
15,67
157,178
65,180
5,138
57,185
131,134
28,158
152,175
50,164
58,177
93,116
61,182
39,145
144,198
105,127
137,159
54,152
2,114
145,172
51,128
64,98
38,73
59,105
67,118
119,128
35,156
50,56
182,184
20,51
68,189
1,10
13,21
123,152
22,69
93,120
25,111
73,160
103,161
106,166
114,179
167,191
16,129
59,109
79,87
59,118
45,183
130,169
163,166
11,50
88,181
148,195
38,171
38,180
57,193
41,87
13,16
45,57
144,179
1,32
7,192
116,117
122,151
66,98
85,111
38,45
15,61
67,108
53,173
25,191
17,125
49,157
148,190
54,110
27,156
133,174
93,101
51,104
94,173
14,64
4,136
51,131
107,139
7,61
1,139
100,109
147,193
1,148
56,182
120,185
163,174
151,172
140,172
98,166
38,161
21,90
181,191
98,184
58,148
7,173
81,122
104,124
2,67
23,117
54,132
3,59
4,131
51,126
53,145
96,125
22,157
56,159
46,133
21,67
5,113
143,170
120,198
150,199
129,176
3,198
25,55
2,62
101,184
51,76
0,138
82,189
2,80
0,156
63,194
26,46
93,185
96,129
127,196
136,174
36,96
57,128
128,179
92,113
52,58
49,160
39,88
10,52
30,119
152,154
91,144
0,124
4,94
71,193
72,121
94,167
18,19
10,155
15,32
88,102
84,150
1,106
64,153
67,182
50,111
113,167
62,94
70,196
39,92
30,132
20,106
21,160
52,138
29,182
155,178
1,83
136,137
72,143
136,146
72,152
107,119
99,115
69,74
65,122
29,47
192,199
10,33
89,195
11,105
51,52
23,70
39,96
165,181
51,70
82,174
84,104
143,153
123,184
114,126
6,184
52,151
56,121
57,86
44,165
116,181
168,191
29,42
49,109
43,187
49,127
101,128
1,190
121,143
26,134
101,137
98,150
172,188
47,184
112,152
92,183
40,145
11,109
20,87
29,145
80,190
21,159
32,70
187,191
81,182
87,122
105,158
16,80
105,167
9,41
38,77
31,190
66,166
46,108
58,73
51,186
142,170
98,145
101,141
77,180
29,158
1,50
5,38
116,162
32,159
85,174
59,122
27,62
55,142
39,45
36,147
134,152
70,149
39,63
60,95
48,139
77,175
58,171
100,186
12,82
60,131
13,56
34,97
9,31
26,92
27,57
59,126
7,88
0,67
30,80
2,18
5,172
45,65
42,176
25,105
124,138
127,134
61,198
74,128
37,97
23,162
67,107
138,158
95,187
8,39
82,86
130,181
77,147
112,123
6,114
21,112
141,168
113,195
53,64
64,73
42,171
83,199
26,55
13,122
26,73
87,178
47,123
12,22
5,135
21,116
45,46
53,59
50,161
20,129
45,82
67,79
73,162
4,139
15,59
43,148
79,89
63,72
7,82
77,128
0,52
92,126
46,177
132,180
29,106
9,137
25,63
79,183
49,182
133,172
74,95
56,77
3,71
78,92
87,159
44,188
72,170
28,100
22,178
92,112
6,81
151,170
21,79
9,123
81,102
112,117
152,153
103,135
74,108
20,137
44,174
41,187
43,129
19,28
77,118
100,129
46,158
78,199
141,148
2,69
32,88
106,126
66,99
26,35
17,63
93,192
118,136
28,81
29,55
56,170
5,115
44,52
7,152
8,117
79,168
33,61
144,148
19,135
51,87
32,83
155,172
